#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACP1	ACTB	9606.ENSP00000272067	9606.ENSP00000494750	0	0	0	0	0.072	0.329	0	0.144	0.421
AIF1	HLA-DMB	9606.ENSP00000365227	9606.ENSP00000398890	0	0	0	0	0.303	0.125	0	0.125	0.420
AIF1	SNCA	9606.ENSP00000365227	9606.ENSP00000500990	0	0	0	0	0.059	0	0	0.617	0.624
AIF1	ITGB2	9606.ENSP00000365227	9606.ENSP00000380948	0	0	0	0	0.581	0	0	0.358	0.720
ALDH1A3	CD24	9606.ENSP00000332256	9606.ENSP00000481841	0	0	0	0	0.048	0	0	0.516	0.519
ALDOA	PGAM1	9606.ENSP00000496166	9606.ENSP00000359991	0.053	0	0	0	0.495	0.053	0.800	0.838	0.982
ALDOA	SERPINA3	9606.ENSP00000496166	9606.ENSP00000450540	0	0	0	0	0.059	0	0.400	0.140	0.472
ALOX5AP	TYROBP	9606.ENSP00000479870	9606.ENSP00000262629	0	0	0	0	0.545	0	0	0.159	0.601
ALOX5AP	ITGB2	9606.ENSP00000479870	9606.ENSP00000380948	0	0	0	0	0.476	0	0	0.232	0.580
APLNR	P2RY12	9606.ENSP00000475344	9606.ENSP00000307259	0	0	0	0.697	0.086	0	0	0.386	0.414
C1QB	TYROBP	9606.ENSP00000313967	9606.ENSP00000262629	0	0	0	0	0.544	0	0	0.689	0.852
C1QB	CSF1R	9606.ENSP00000313967	9606.ENSP00000286301	0	0	0	0	0.659	0	0	0.378	0.779
C1QB	SLCO2B1	9606.ENSP00000313967	9606.ENSP00000289575	0	0	0	0	0.393	0	0	0.096	0.427
C1QB	CX3CR1	9606.ENSP00000313967	9606.ENSP00000351059	0	0	0	0	0.102	0	0	0.396	0.434
C1QB	HLA-DMB	9606.ENSP00000313967	9606.ENSP00000398890	0	0	0	0	0.305	0.107	0	0.291	0.521
C1QB	ITGB2	9606.ENSP00000313967	9606.ENSP00000380948	0	0	0	0	0.261	0.045	0	0.620	0.708
C1QB	C1QC	9606.ENSP00000313967	9606.ENSP00000363770	0	0	0.077	0.925	0.999	0.928	0.900	0.983	0.999
C1QC	TYROBP	9606.ENSP00000363770	9606.ENSP00000262629	0	0	0	0	0.523	0	0	0.446	0.724
C1QC	CSF1R	9606.ENSP00000363770	9606.ENSP00000286301	0	0	0	0	0.556	0	0	0.587	0.809
C1QC	SLCO2B1	9606.ENSP00000363770	9606.ENSP00000289575	0	0	0	0	0.420	0	0	0.162	0.493
C1QC	P2RY12	9606.ENSP00000363770	9606.ENSP00000307259	0	0	0	0	0.209	0	0	0.279	0.405
C1QC	CX3CR1	9606.ENSP00000363770	9606.ENSP00000351059	0	0	0	0	0.131	0	0	0.366	0.425
C1QC	SERPINA3	9606.ENSP00000363770	9606.ENSP00000450540	0	0	0	0	0.084	0	0	0.446	0.470
C1QC	ITGB2	9606.ENSP00000363770	9606.ENSP00000380948	0	0	0	0	0.252	0	0	0.428	0.554
CACYBP	CCT7	9606.ENSP00000356652	9606.ENSP00000258091	0	0	0	0	0.308	0	0	0.206	0.427
CCT7	PGAM1	9606.ENSP00000258091	9606.ENSP00000359991	0	0	0	0	0.324	0.047	0	0.185	0.429
CD24	CSF1R	9606.ENSP00000481841	9606.ENSP00000286301	0	0	0	0	0.053	0	0	0.407	0.414
CD24	DCLK1	9606.ENSP00000481841	9606.ENSP00000353846	0	0	0	0	0	0	0	0.447	0.447
CRH	NTRK2	9606.ENSP00000276571	9606.ENSP00000277120	0	0	0	0	0.083	0	0	0.457	0.480
CRH	TAC1	9606.ENSP00000276571	9606.ENSP00000321106	0	0	0	0	0.080	0	0	0.721	0.733
CSF1R	GFAP	9606.ENSP00000286301	9606.ENSP00000253408	0	0	0	0	0.055	0.046	0	0.429	0.440
CSF1R	TYROBP	9606.ENSP00000286301	9606.ENSP00000262629	0	0	0	0	0.806	0	0	0.816	0.962
CSF1R	HLA-DMB	9606.ENSP00000286301	9606.ENSP00000398890	0	0	0	0	0.459	0	0	0.182	0.539
CSF1R	P2RY12	9606.ENSP00000286301	9606.ENSP00000307259	0	0	0	0	0.182	0	0	0.714	0.756
CSF1R	CX3CR1	9606.ENSP00000286301	9606.ENSP00000351059	0	0	0	0	0.305	0	0	0.774	0.836
CSF1R	ITGB2	9606.ENSP00000286301	9606.ENSP00000380948	0	0	0	0	0.513	0.063	0	0.722	0.862
CX3CR1	GFAP	9606.ENSP00000351059	9606.ENSP00000253408	0	0	0	0	0.044	0	0	0.607	0.608
CX3CR1	TYROBP	9606.ENSP00000351059	9606.ENSP00000262629	0	0	0	0	0.208	0	0	0.725	0.773
CX3CR1	P2RY12	9606.ENSP00000351059	9606.ENSP00000307259	0	0	0	0.607	0.201	0	0	0.550	0.625
CX3CR1	ITGB2	9606.ENSP00000351059	9606.ENSP00000380948	0	0	0	0	0.203	0	0	0.447	0.540
F3	P2RY12	9606.ENSP00000334145	9606.ENSP00000307259	0	0	0	0	0	0	0	0.742	0.742
GABRA5	NTRK2	9606.ENSP00000382953	9606.ENSP00000277120	0	0	0	0	0.160	0	0	0.458	0.526
GABRA5	NSF	9606.ENSP00000382953	9606.ENSP00000381293	0	0	0	0	0.073	0	0.900	0.073	0.906
GABRA5	SNRPN	9606.ENSP00000382953	9606.ENSP00000494831	0	0	0	0	0.086	0	0	0.571	0.591
GFAP	RTN4	9606.ENSP00000253408	9606.ENSP00000337838	0	0	0	0	0.065	0	0	0.393	0.409
GFAP	TAC1	9606.ENSP00000253408	9606.ENSP00000321106	0	0	0	0	0.097	0	0	0.423	0.456
GFAP	STMN1	9606.ENSP00000253408	9606.ENSP00000410452	0	0	0	0	0.070	0	0	0.505	0.520
GFAP	P2RY12	9606.ENSP00000253408	9606.ENSP00000307259	0	0	0	0	0.104	0	0	0.489	0.522
GFAP	SYT1	9606.ENSP00000253408	9606.ENSP00000261205	0	0	0	0	0.219	0.078	0	0.416	0.544
GFAP	MAP1B	9606.ENSP00000253408	9606.ENSP00000296755	0	0	0	0	0.099	0	0	0.591	0.615
GFAP	NTRK2	9606.ENSP00000253408	9606.ENSP00000277120	0	0	0	0	0.279	0.051	0	0.555	0.669
GFAP	SNCA	9606.ENSP00000253408	9606.ENSP00000500990	0	0	0	0	0.147	0	0	0.632	0.673
GFAP	SNAP25	9606.ENSP00000253408	9606.ENSP00000254976	0	0	0	0	0.259	0	0	0.692	0.762
HLA-DMB	TYROBP	9606.ENSP00000398890	9606.ENSP00000262629	0	0	0	0	0.405	0	0	0.217	0.514
HLA-DMB	ITGB2	9606.ENSP00000398890	9606.ENSP00000380948	0	0	0	0	0.345	0	0	0.160	0.426
ITGB2	TYROBP	9606.ENSP00000380948	9606.ENSP00000262629	0	0	0	0	0.921	0	0	0.659	0.972
ITGB2	VAV3	9606.ENSP00000380948	9606.ENSP00000359073	0	0	0	0	0.108	0	0.900	0.528	0.954
MAP1B	SNAP25	9606.ENSP00000296755	9606.ENSP00000254976	0	0	0	0	0.191	0.292	0	0.309	0.570
MAP1B	SYT1	9606.ENSP00000296755	9606.ENSP00000261205	0	0	0	0	0.183	0	0	0.336	0.434
MAP1B	STMN1	9606.ENSP00000296755	9606.ENSP00000410452	0	0	0	0	0.102	0.066	0	0.407	0.459
MAP1B	SNCA	9606.ENSP00000296755	9606.ENSP00000500990	0	0	0	0	0.075	0.292	0	0.492	0.639
MGLL	NTRK2	9606.ENSP00000265052	9606.ENSP00000277120	0.045	0	0	0	0	0	0	0.494	0.496
MGLL	PRKAR1A	9606.ENSP00000265052	9606.ENSP00000376475	0.043	0.013	0	0	0.055	0	0	0.539	0.546
MT1M	MT1X	9606.ENSP00000369146	9606.ENSP00000377995	0	0	0.055	0.968	0.856	0.045	0	0.087	0.866
NSF	SNAP25	9606.ENSP00000381293	9606.ENSP00000254976	0	0	0	0	0.147	0.876	0	0.788	0.975
NSF	SYT1	9606.ENSP00000381293	9606.ENSP00000261205	0	0	0	0	0.106	0.053	0	0.696	0.720
NTRK2	SNAP25	9606.ENSP00000277120	9606.ENSP00000254976	0	0	0	0	0.213	0.053	0	0.618	0.691
NTRK2	SYT1	9606.ENSP00000277120	9606.ENSP00000261205	0	0	0	0	0.151	0	0	0.350	0.425
NTRK2	SNCA	9606.ENSP00000277120	9606.ENSP00000500990	0	0	0	0	0.112	0.295	0	0.400	0.592
NTRK2	TAC1	9606.ENSP00000277120	9606.ENSP00000321106	0	0	0	0	0.122	0	0	0.773	0.793
P2RY12	TYROBP	9606.ENSP00000307259	9606.ENSP00000262629	0	0	0	0	0.162	0	0	0.644	0.689
PGAM1	STMN1	9606.ENSP00000359991	9606.ENSP00000410452	0	0	0	0	0.067	0.347	0	0.238	0.495
PI4KA	SYT1	9606.ENSP00000255882	9606.ENSP00000261205	0	0	0	0	0.042	0	0	0.404	0.404
RGS10	TYROBP	9606.ENSP00000358099	9606.ENSP00000262629	0	0	0	0	0.174	0	0	0.423	0.503
RTN1	SNAP25	9606.ENSP00000267484	9606.ENSP00000254976	0	0	0	0	0.321	0	0	0.223	0.450
RTN1	RTN4	9606.ENSP00000267484	9606.ENSP00000337838	0	0	0	0.733	0.072	0.697	0	0.508	0.849
SNAP25	TAC1	9606.ENSP00000254976	9606.ENSP00000321106	0	0	0	0	0.124	0	0	0.447	0.494
SNAP25	SNCA	9606.ENSP00000254976	9606.ENSP00000500990	0	0	0	0	0.170	0.389	0	0.599	0.779
SNAP25	SYT1	9606.ENSP00000254976	9606.ENSP00000261205	0	0	0	0	0.405	0.974	0.500	0.997	0.999
SNCA	SYT1	9606.ENSP00000500990	9606.ENSP00000261205	0	0	0	0	0.088	0	0	0.608	0.627
SNCA	TAC1	9606.ENSP00000500990	9606.ENSP00000321106	0	0	0	0	0.072	0	0	0.509	0.524
SNRPN	SNURF	9606.ENSP00000494831	9606.ENSP00000463201	0	0	0	0	0.781	0	0	0.832	0.961
TYROBP	VAV3	9606.ENSP00000262629	9606.ENSP00000359073	0	0	0	0	0.137	0	0.500	0.654	0.837
